Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:04:37 PM,1.83,175.6,9,207,61.5,28.33468,8.754,8.963,768,1123,0,0,0,0,0,0.209,0,0,0,8.754237,8.870904,0.113,0,0
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:04:37 PM,1.83,175.6,9,207,89.39544,38.16984,8.983,9.154,1131,1482,1,35.427,11.382,0.229,0,0.171,0.208,0.037,37.748,8.983405,9.066739,0.104,0.02,0.017
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:04:37 PM,1.83,175.6,9,207,116.4163,30.08062,9.171,9.35,1490,1859,0,34.316,9.705,0.188,0.208,0.179,0.217,0.038,36.07,9.170907,9.266741,0.104,0.017,0.021
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:04:37 PM,1.83,175.6,9,207,146.6812,37.27515,9.371,9.55,1867,2291,1,38.436,11.399,0.2,0.217,0.179,0.217,0.038,40.237,9.370909,9.454243,0.117,0.021,0.017
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:04:37 PM,1.83,175.6,9,207,170.463,26.51852,9.567,9.746,2299,2687,0,30.203,11.024,0.196,0.217,0.179,0.229,0.05,33.584,9.57091,9.629244,0.15,0.017,0.033
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:04:37 PM,1.83,175.6,9,207,200.6667,33.12241,9.779,9.942,2695,3086,1,38.359,10.583,0.212,0.229,0.163,0.233,0.07,40.005,9.779245,9.845912,0.133,0.033,0.037
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:04:37 PM,1.83,175.6,9,207,228.3269,23.06082,9.979,10.138,3094,3471,0,35.128,10.806,0.2,0.233,0.159,0.212,0.053,37.368,9.979246,10.03341,0.129,0.037,0.016
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:04:37 PM,1.83,175.6,9,207,260.1667,30.01667,10.154,10.296,3479,3901,1,40.436,9.653,0.175,0.212,0.142,0.237,0.095,41.003,10.16258,10.22925,0.15,0.016,0.079
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:04:37 PM,1.83,175.6,9,207,284.3483,21.77159,10.375,10.542,3912,4359,0,30.711,9.318,0.221,0.237,0,0.292,0.125,33.485,10.37925,10.43758,0,0.079,0.046
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:04:37 PM,1.83,175.6,9,207,314.5,28.2,10.588,10.779,4367,4809,1,38.293,0,0.213,0.292,0,0,0,39.246,10.59175,10.69175,0,0,0
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:03:20 PM,1.88,113.4,7,205,53.5,20.42903,17.133,17.442,996,1550,0,0,0,0,0,0.309,0,0,0,17.13347,17.24597,0.179,0,0
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:03:20 PM,1.88,113.4,7,205,77.57653,24.12586,17.425,17.704,1487,1958,1,30.577,10.869,0.292,0,0.279,0.241,0.038,30.883,17.42514,17.53347,0.15,0.017,0.021
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:03:20 PM,1.88,113.4,7,205,100.3016,10.70653,17.683,17.942,1866,2332,0,28.861,11.385,0.258,0.241,0.259,0.234,0.025,33.721,17.68348,17.79181,0.146,0.021,0.004
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:03:20 PM,1.88,113.4,7,205,124.5,15.21606,17.938,18.217,2315,2817,1,30.732,6.251,0.255,0.234,0.279,0.258,0.021,31.44,17.93764,18.06681,0.133,0.004,0.017
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:03:20 PM,1.88,113.4,7,205,149.5564,9.881823,18.2,18.463,2749,3189,0,31.822,7.295,0.262,0.258,0.263,0.241,0.022,32.62,18.20015,18.32931,0.129,0.017,0.005
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:03:20 PM,1.88,113.4,7,205,172.244,16.03571,18.458,18.738,3170,3653,1,28.813,10.63,0.258,0.241,0.28,0.25,0.03,29.567,18.45848,18.58348,0.129,0.005,0.025
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:03:20 PM,1.88,113.4,7,205,196.5,5.449153,18.713,19.017,3590,3981,0,30.805,7.878,0.255,0.25,0,0.279,0.025,34.243,18.71265,18.82515,0,0.025,0
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:03:20 PM,1.88,113.4,7,205,221.3333,7.26862,19.017,19.288,3981,4407,1,31.538,0,0.304,0.279,0,0,0,31.216,19.02098,19.10432,0,0,0
Diapers19,7,10/27/2008,F,3/21/2007,10/27/2008 6:02:51 PM,1.97,183.5,10,204,40.5,29.96926,15.383,15.571,566,947,1,0,0,0,0,0.188,0,0,0,15.38762,15.48346,0.104,0,0
